"key","en","de"
"form_builder_type.hidden_type","Hidden Type","Verstecktes Element"
"form_builder_type.integer_type","Integer Type","Numerisches Element"
"form_builder_type.textarea_type","Textarea Type","Textfeld Element"
"form_builder_type.checkbox_type","Checkbox Type","Checkbox Element"
"form_builder_type.choice_type","Choice Type","Auswahl Element"
"form_builder_type.dynamic_choice_type","Dynamic Choice Type","Dynamisches Auswahl Element"
"form_builder_type.country_type","Country Type","Länder-Auswahl Element"
"form_builder_type.html_tag_type","HTML Tag Type","HTML Tag Element"
"form_builder_type.snippet_type","Snippet Type","Snippet Element"
"form_builder_type.dynamic_multi_file","Dynamic Multi File","Dynamic Multi-Datei Element"
"form_builder_type.submit_type","Submit Type","Absenden Element"
"form_builder_type.date_type","Date Type","Datum Element"
"form_builder_type.date_time_type","Date Time Type","Datum & Uhrzeit Element"
"form_builder_type.time_type","Time Type","Uhrzeit Element"
"form_builder_type.birthday_type","Birthday Type","Geburtstag Element"

"form_builder_type_tab.default","Default","Standard"

"form_builder_type_display_group.base","Base","Base"
"form_builder_type_display_group.hook","Hook","Hook"
"form_builder_type_display_group.attributes","Attributes","Attributes"

"form_builder_type_field_base.label","Label","Label"
"form_builder_type_field_base.email_label","Email Label","E-Mail Label"
"form_builder_type_field_base.value","Value","Wert"
"form_builder_type_field_base.data","Preselected","Vorselektiert"
"form_builder_type_field_base.preferred_choices","Preferred Choices","Bevorzugte Werte"
"form_builder_type_field_base.help_text","Help Text","Hilfetext"
"form_builder_type_field_base.allow_empty","Allow Empty","Leerer Wert erlauben"
"form_builder_type_field_base.hook_custom_class","Custom Class","Benutzerdefinierte Klasse"
"form_builder_type_field_base.hook_custom_action","Custom Action","Benutzerdefinierte Aktion"
"form_builder_type_field_base.attributes","Attributes","Attribute"

"form_builder_type_field.tag_element","Tag Element","Tag Element"
"form_builder_type_field.snippet_path","Snippet Path","Snippet Pfad"
"form_builder_type_field.choices","Choices","Auswahl"
"form_builder_type_field.expanded","Expanded","Ausgeklappt"
"form_builder_type_field.multiple","Multiple","Mehrfach"
"form_builder_type_field.placeholder","Default Option","Standardwert"
"form_builder_type_field.service_name","Service Name","Service Name"
"form_builder_type_field.placeholder_desc","This option determines whether or not a special 'empty' option (e.g. 'Choose an option') will appear at the top of a select field. This option only applies if the multiple option is set to false. Leave empty for no default option.","Diese Option legt fest, ob eine spezielle 'leere' Option (z. B. 'Wählen Sie eine Option') am oberen Rand eines Auswahlfeldes erscheinen soll. Diese Option gilt nur, wenn die Option 'Mehrfach' nicht aktiv ist. Leer lassen für keine Standardoption."
"form_builder_type_field.allowed_extensions","Allowed Extensions","Erlaubte Dateitypen"
"form_builder_type_field.allowed_extensions_desc","Add some extensions and confirm with enter.","Fügen Sie erlaubte Dateierweiterungen hinzu und bestätigen Sie mit der Enter-Taste."
"form_builder_type_field.max_file_size","Max File Size","Max. Dateigröße"
"form_builder_type_field.max_file_size_desc","Max file size will be calculated in MB. Empty or Zero means no Limit!","Maximale Dateigröße wird in MB verarbeitet. Leer oder 0 bedeutet kein Limit!"
"form_builder_type_field.date_seconds","Seconds","Sekunden"
"form_builder_type_field.date_minutes","Minutes","Minuten"
"form_builder_type_field.date_hours","Hours","Stunden"
"form_builder_type_field.date_days","Days","Tage"
"form_builder_type_field.date_months","Months","Monate"
"form_builder_type_field.date_years","Years","Jahre"
"form_builder_type_field.date_widget","Widget","Darstellung"
"form_builder_type_field.time_widget","Widget Time","Darstellung Uhrzeit"
"form_builder_type_field.date_with_minutes","With Minutes","Minuten darstellen"
"form_builder_type_field.date_with_seconds","With Seconds","Sekunden darstellen"

"form_builder_type_template.default","Default","Default"

"form_builder_form_template.bootstrap_3_horizontal_layout","Bootstrap 3 Horizontal Layout","Bootstrap 3 Horizontales Layout"
"form_builder_form_template.bootstrap_3_layout","Bootstrap 3 Layout","Bootstrap 3 Layout"
"form_builder_form_template.bootstrap_4_horizontal_layout","Bootstrap 4 Horizontal Layout","Bootstrap 4 Horizontales Layout"
"form_builder_form_template.bootstrap_4_layout","Bootstrap 4 Layout","Bootstrap 4 Layout"

"form_builder_form_template.form_div_layout","Form Div Layout","Form Div Layout"
